"SITE","NOME","X","Y","ILLUMINATION","VINES","DM97","DM98","DM99","DM00","DM01","DM02","DM03","DM04","DM05","DM06","DM07","DM08","DM09","INC9597","INC9798","INC9899","INC9900","INC0001","INC0102","INC0203","INC0304","INC0405","INC0506","INC0607","INC0708","INC0809","FRT97","FRT98","FRT99","FRT00","FRT01","FRT02","FRT03","FRT04","FRT05","FRT06","FRT07","FRT08","FRT09"
"MR",40001,-207.7,-1598.6,3,2,40.1,40.7,41.4,42.3,43.5,44.5,45.5,46.4,47,48.2,49.1,50.5,51.6,0.6,0.55,0.75,0.9,1.2,0.95,1.05,0.85,0.6,1.2,0.9,1.45,1.05,0,20,0,20,3,26,3,2,15,1,10,0,9
"MR",110,-99.3,-1545.1,3,1,81.2,81.6,82,82.9,84,84.7,85.6,86.6,87.6,88.6,89.6,90.9,92.2,0.37,0.4,0.45,0.85,1.15,0.65,0.95,1,1,0.95,1.05,1.25,1.3,163,44,33,80,73,240,3,225,6,248,21,4,19
"MR",40102,-541.1,-1454.4,4,0,25.8,26.8,27.6,28.6,29.6,30.6,31.3,32.2,32.9,33.9,34.6,35.6,36.7,NA,0.95,0.85,0.95,1,1,0.75,0.9,0.7,1,0.7,0.95,1.1,3,5,4,2,1,3,0,0,2,8,6,10,1
"MR",40101,-452.7,-1388.4,3,0,30.8,31.2,31.8,32.5,33.3,34.2,34.8,35.8,36,36.5,36.9,37.4,38,NA,0.35,0.65,0.7,0.8,0.85,0.6,1,0.25,0.45,0.45,0.5,0.55,50,0,3,62,0,64,18,0,1,10,8,19,3
"MR",40103,-151.3,-1314.6,3,3,34.1,34.1,34.3,34.4,34.4,34.4,34.4,34.7,34.6,34.6,34.5,34.7,34.7,NA,0,0.15,0.1,0.05,0,0,0.25,-0.05,0,-0.1,0.15,0,NA,0,0,0,0,2,0,0,0,0,0,0,0
"MR",109,-35.6,-1422.4,3,0,57,57.6,58.5,59.5,60.8,62.2,63.2,64.2,65,66.1,67,67.8,68.8,0.79,0.6,0.85,1.05,1.25,1.4,1.05,0.95,0.8,1.1,0.95,0.8,1,10,9,0,22,0,8,0,0,2,2,2,0,1
"MR",40201,-841.7,-1217.5,2,1,32.1,32.8,33.5,34.3,35.3,36.3,37.2,38.3,39.1,40.1,40.8,41.5,42.6,0.68,0.7,0.7,0.8,1,1,0.9,1.1,0.8,1,0.65,0.7,1.1,1,7,0,20,3,4,6,0,3,1,2,6,1
"MR",113,-828.7,-1151.5,3,1,33.4,34,34.5,35.1,36.2,37,37.5,38.4,38.7,39.4,39.7,40.1,41.1,0.53,0.65,0.45,0.65,1.05,0.8,0.55,0.85,0.35,0.65,0.3,0.45,0.95,0,0,1,1,4,3,3,0,7,5,9,6,2
"MR",40204,-683.7,-1319,3,3,62.5,62.5,62.7,62.9,63,63.1,63.3,63.6,63.7,63.9,64.1,64.1,64.6,NA,0.05,0.15,0.2,0.15,0.1,0.2,0.25,0.1,0.25,0.15,0,0.5,2,4,0,3,4,1,0,0,9,2,1,0,0
"MR",111,-392.8,-1288.4,1,0,26.5,26.8,27.3,28.2,28.8,29.6,30.1,31,31.4,32.1,32.4,32.8,33.4,0.42,0.3,0.45,0.9,0.65,0.75,0.55,0.9,0.4,0.65,0.3,0.4,0.6,12,0,7,6,7,7,44,0,27,7,9,6,3
