sample_id,date,year,water_body,location,lat_dd,long_dd,tube_id_2011,kirk_number_2011,field_id,species_name,gear,vgn_depth_m,vgn_id,start_time,end_time,depth_start,depth_stop,total_depth,otoliths,scale,muscle,adipose,whole_fish,fin_clip,genetics,photo,stomach_lavage,stomach_dissection,stomach_contents,food_weight_g,bia,fate,age_otolith,age_otolith_by,age_otolith_confidence,age_otolith_date,age_scale,tl_mm,fl_mm,sl_mm,weight_g,weight_dry_g,q_2,sex,gillraker_count,c,o,sr,op,ch_1,ch_2,lmx,lmd,io,h_1,h_2,ad,pd,pv,pa,av,dc,ac,ld,hd,la,ha,lp,hp,lv,hv,pl,ll,d,a,p,v,egg_development,egg_weight,egg_count,d13c_muscle,d15n_muscle,percent_c_muscle,percent_n_muscle,c_to_n_muscle,d13c_adipose,d15n_adipose,percent_c_adipose,percent_n_adipose,c_to_n_adipose,water_temp_c,do_mg_l,conductivity,weather,time,floy_id,pit_id,lotek_id,lotek_code,lotek_freq,nickname,comments
G1103,7/13/12,2012,Uur,Riffle DST swimming hole,50.30985,101.89547,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,AM,NA,NA,NA,2,,Y,Y,,,,Y,,Y,,NA,Y,,1,Brian Weidel,1,11/12/14,,190,174,161,62.9,NA,NA,F,17,33.1,9.5,NA,16.8,21.4,16.8,11.8,16.5,9.8,32.8,11.8,61.4,83,49.7,NA,42.8,71.2,23,32.7,27,16.8,22.5,6.5,23.3,7.1,24.3,NA,NA,V-13,II-9,I-10,I-14,,NA,NA,-29.18,11.45,0.427996427,0.130937531,3.268707032,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA,,"Brian says about age: a lot of growth, perhaps full season past last annuli"
G1080,7/9/12,2012,Eg,,50.27447,101.8752,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,,NA,NA,NA,2,,,,,,,Y,,Y,,NA,N,,2,Brian Weidel,1,11/12/14,,231,210,197,95.3,NA,NA,F,19,38.9,9.6,NA,22.7,24.9,16.5,13.3,18.8,11.4,42.2,13.5,60,98.7,60.3,NA,50.6,88.7,29.9,41,33,19,26.9,9.1,26.9,7,30,NA,94,VI-13,II-9,I-10,I-13,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA,,"Brian says about age: a lot of growth, perhaps full season past last annuli"
G1066,7/9/12,2012,Eg,,50.27447,101.8752,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,,NA,NA,NA,2,,,,,,,Y,,Y,,NA,Y,,3,Brian Weidel,1,11/12/14,,239,218,205,105.1,NA,NA,F,19,38.8,10,NA,20,26.2,26.8,13.5,18.5,10.1,40.8,15.1,73.6,104,66.4,NA,54,91.8,31.6,43.9,32.6,18.8,36.8,7.4,26.9,7.5,30.1,NA,92,VI-14,II-9,I-10,I-14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA,,"Brian says about age: a lot of growth, perhaps full season past last annuli"
G1081,7/9/12,2012,Eg,,50.27447,101.8752,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,,NA,NA,NA,2,,,,,,,Y,,Y,,NA,N,,3,Brian Weidel,1,11/12/14,,269,244,228,160.4,NA,NA,F,18,43.6,11,NA,22.7,30.6,20.8,15.9,22.1,15.1,49.7,16.6,82.3,113.7,71.9,NA,63.9,98.1,29.9,49.7,39.8,22,32.1,8.9,34.8,8.7,37.7,NA,93,V-13,I-10,I-11,I-14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA,,"Brian says about age: a lot of growth, perhaps full season past last annuli"
G1068,7/9/12,2012,Eg,,50.27447,101.8752,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,,NA,NA,NA,2,,,,,,,Y,,Y,,NA,N,,4,Brian Weidel,1,11/12/14,,216,193,182,82.3,NA,NA,F,17,35.2,10,NA,19.6,24.3,26.2,13.5,15.4,11.1,39.7,14.1,63.2,87.9,54.9,NA,37.5,84.8,30.2,37.3,29.4,19.4,24.1,8.1,27.1,8,27.6,NA,94,VI-13,II-7,I-10,I-14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA,,"Brian says about age: a lot of growth, perhaps full season past last annuli"
G1351,7/24/12,2012,Hovsgol,Stomach Bay,NA,NA,,,grayling-Hovsgol,grayling-Hovsgol,gillnet-vertical,22,3,,AM,NA,NA,NA,2,,,,,,,Y,,N,,NA,N,,4,Brian Weidel,1,11/12/14,,214,192,178,67.9,NA,NA,F,27,35.2,8.3,NA,17.7,21.9,16.2,11.8,16.8,6.5,34.4,10.7,62.4,93,60,NA,45.7,79.6,28.7,40.2,28.9,17.8,26.8,27.9,7.9,29.9,7.2,NA,87,VII-12,II-9,I-9,I-14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA,,"Brian says about age: a lot of growth, perhaps full season past last annuli"
G141,7/22/11,2011,Hovsgol,Dalbai,51.05,100.72,,,grayling-Hovsgol,grayling-Hovsgol,gillnet-horizontal,NA,NA,,,NA,NA,NA,2,,,,,,,,,,,NA,,,5,Brian Weidel,1,11/12/14,,245,222,92,146,NA,NA,F,23,46.1,11.3,11.5,25.5,31.1,21.5,14.8,20.2,NA,48.9,15,81.3,113.1,69.6,50.1,47,77.5,28.5,45.7,38,18.7,33.2,32.1,NA,38.4,NA,NA,NA,VII-12,III-10,I-10,I-15,VI-II,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA,,"Brian says about age: a lot of growth, perhaps full season past last annuli"
G2156,7/20/13,2013,Hovsgol,Dalbai,NA,NA,,,grayling-Hovsgol,grayling-Hovsgol,gillnet-horizontal,NA,NA,,,NA,NA,NA,2,,Y,,,Y,Y,Y,,Y,,NA,,,5,Brian Weidel,1,11/12/14,,222,198,184,79,58,NA,F,30,37.3,9.6,NA,18.8,20.5,16.4,11.6,17.4,6.5,36.6,11,67.2,94,57.1,NA,48.5,73.5,23.5,30.9,26.2,18,18.9,NA,6.4,32,7.4,NA,82,VI-12,I-9,II-8,II-13,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA,,"Brian says about age: a lot of growth, perhaps full season past last annuli"
G1242,7/20/12,2012,Hovsgol,Dalbai,51.04689,100.72345,,,grayling-Hovsgol,grayling-Hovsgol,gillnet-horizontal,NA,NA,,AM,NA,NA,NA,2,,,,,,,Y,,Y,,NA,N,,6,Brian Weidel,1,11/12/14,,230,205,193,75.5,NA,NA,F,31,36.5,9.6,NA,19.5,22.7,16.1,11.1,16.4,8,30.3,10.1,63.6,98.5,62.2,NA,51.5,83.2,29.5,47,30.5,20.1,29.5,33.8,7.5,36.5,7.2,NA,83,VI-13,II-10,I-9,I-14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA,,"Brian says about age: a lot of growth, perhaps full season past last annuli"
G2192,7/21/13,2013,Hovsgol,Turag,51.301181,100.779395,,,grayling-Hovsgol,grayling-Hovsgol,gillnet-horizontal,NA,NA,,,NA,NA,NA,2,,Y,,,Y,,Y,,Y,,NA,,,8,Brian Weidel,1,11/12/14,,253,234,217,125,94,NA,F,27,46.5,10.8,NA,21.9,28.9,16.2,15.8,20.7,6.2,42.8,13.6,78.5,112.1,60.9,NA,50.7,96.3,34,42.7,30.6,20.5,34.3,NA,8.7,37,9,NA,89,VI-11,I-9,I-9,II-14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA,,"Brian says about age: a lot of growth, perhaps full season past last annuli"
