"sample_id","year","water_body","species_name","age_otolith","tl_mm","weight_g","sex","egg_count","tl_cm"
"G1103",2012,"Uur","grayling-Arctic",1,190,62.9,"F",NA,19
"G1080",2012,"Eg","grayling-Arctic",2,231,95.3,"F",NA,23.1
"G1066",2012,"Eg","grayling-Arctic",3,239,105.1,"F",NA,23.9
"G1081",2012,"Eg","grayling-Arctic",3,269,160.4,"F",NA,26.9
"G1068",2012,"Eg","grayling-Arctic",4,216,82.3,"F",NA,21.6
"G1351",2012,"Hovsgol","grayling-Hovsgol",4,214,67.9,"F",NA,21.4
"G141",2011,"Hovsgol","grayling-Hovsgol",5,245,146,"F",NA,24.5
"G2156",2013,"Hovsgol","grayling-Hovsgol",5,222,79,"F",NA,22.2
"G1242",2012,"Hovsgol","grayling-Hovsgol",6,230,75.5,"F",NA,23
"G2192",2013,"Hovsgol","grayling-Hovsgol",8,253,125,"F",NA,25.3
"131",2009,"Hovsgol","grayling-unknown",6,257,142,"F",NA,25.7
"203",2009,"Hovsgol","grayling-unknown",7,309,228,"F",NA,30.9
"134",2009,"Hovsgol","grayling-Hovsgol",11,369,352,"F",NA,36.9
"L1114",2012,"Uur","lenok",3,291,231.1,"F",NA,29.1
"157",2009,"Hovsgol","grayling-unknown",4,230,92,"F",NA,23
"L1189",2012,"Hovsgol","lenok",5,505,1232,"F",NA,50.5
"LE2046",2013,"Hovsgol","lenok",5,455,1000,"F",NA,45.5
"G2198",2013,"Hovsgol","grayling-Hovsgol",8,238,99,"F",NA,23.8
"G1260",2012,"Hovsgol","grayling-Hovsgol",9,285,108,"F",NA,28.5
"G1234",2012,"Hovsgol","grayling-Hovsgol",10,255,103.9,"F",NA,25.5
"G2145",2013,"Hovsgol","grayling-Hovsgol",10,238,105.4,"F",NA,23.8
"G1294",2012,"Hovsgol","grayling-Arctic",11,382,361,"F",NA,38.2
"G1328",2012,"Hovsgol","grayling-Hovsgol",12,366,359,"F",NA,36.6
